year,net_worth
2001,1200000000
2002,1500000000
2003,2500000000
2004,5100000000
2005,4100000000
2006,4300000000
2007,4400000000
2008,8200000000
2009,6800000000
2010,12300000000
2011,18100000000
2012,18400000000
2013,25200000000
2014,32000000000
2015,34800000000
2016,45200000000
2017,72800000000
2018,112000000000
2019,131000000000
2020,113000000000
2021,177000000000
2022,171000000000
2023,114000000000
2024,194000000000
2025,211000000000
